Mt5.0 (r1.7) locus tag,ACRONYM,new locus_tag (r1.7),DESCRIPTION,Publication,ID Mt5.0 (r1.6),ID Mt4.0,ID Mt20120830,Affymetrix probe set,Nimblegen probe
MtrunA17_Chr2g0319551,Mt2SA3,#N/A,2S albumin,PMID:29030416,MtrunA17Chr2g0319551,Medtr2g083160,Mt0019_10143,Mtr.49807.1.S1_at,Medtr_v1_012617
UNDEF,Mt3GT-1,#N/A,Kaempferol 3-O-beta-D-galactosyltransferase ,PMID:25922487,UNDEF,Medtr2g009740,Mt0023_10316,Mtr.14701.1.S1_at,Medtr_v1_009321
MtrunA17_Chr4g0072761,Mt3GT-2,#N/A,Flavonoid 3-O-glucosyltransferase ,PMID:25922487,MtrunA17Chr4g0072761,Medtr4g128690,Mt0001_00309,Mtr.39747.1.S1_at,Medtr_v1_027790
MtrunA17_Chr8g0353341,Mt4CL-1,#N/A,4-coumarate--CoA ligase-like ,PMID:25922487,MtrunA17Chr8g0353341,Medtr8g039720,Mt0037_10188,#N/A,Medtr_v1_049446
MtrunA17_Chr5g0395431,Mt4CL-2,#N/A,4-coumarate--CoA ligase 2 ,PMID:25922487,MtrunA17Chr5g0395431,Medtr5g007640,Mt0005_00127,Mtr.41031.1.S1_at,Medtr_v1_029622
MtrunA17_Chr4g0000461,Mt4CL-3,#N/A,4-coumarate--CoA ligase ,PMID:25922487,MtrunA17Chr4g0000461,Medtr4g005750,Mt0078_00050,Mtr.25611.1.S1_at,Medtr_v1_022047
MtrunA17-Chr6g0460091,MtABA4,#N/A,abscisic acid (aba)-deficient 4,PMID:28073951,MtrunA17Chr6g0460091,Medtr6g025680,Mt0033_00158,#N/A,Medtr_v1_038857
MtrunA17_Chr4g0050201,MtABCG3,#N/A,ABCG transporter family protein,PMID:28596311,MtrunA17Chr4g0050201,Medtr4g093845,Mt0001_11851,Mtr.52071.1.S1_at,#N/A
MtrunA17_Chr4g0050221,MtABCG4,#N/A,ABCG transporter family protein,PMID:28596311,MtrunA17Chr4g0050221,Medtr4g094090,Mt0001_11850,Mtr.52074.1.S1_at,Medtr_v1_026158
MtrunA17_Chr7g0237841,MtABI3,#N/A,abscisic acid-insensitive 3,PMID:23929721,MtrunA17Chr7g0237841,Medtr7g059330,Mt0022_00063,Mtr.44550.1.S1_at,Medtr_v1_076959
MtrunA17_Chr5g0437371,MtABI4,#N/A,abscisic acid-insensitive 4,PMID:23929721,MtrunA17Chr5g0437371,Medtr5g082950,Mt0010_10260,Mtr.26495.1.S1_at,#N/A
MtrunA17_Chr7g0266211,MtABI5,#N/A,abscisic acid-insensitive 5,PMID:23929721,MtrunA17Chr7g0266211,Medtr7g104480,Mt0031_00314,Mtr.21588.1.S1_at,Medtr_v1_046360
MtrunA17_Chr7g0275191,MtABIL ,#N/A,ABI-like (actin and microtubule organization),PMID:25527707,MtrunA17Chr7g0275191,Medtr7g116710,Mt0036_00256,Mtr.20281.1.S1_at,Medtr_v1_047023
MtrunA17_Chr7g0275191,MtABlL,#N/A,ABL interactor-like protein (WAVE complex subunit),PMID:23347006,MtrunA17Chr7g0275191,Medtr7g116710,Mt0036_00256,Mtr.20281.1.S1_at,Medtr_v1_047023
MtrunA17_Chr5g0439011,MtACC oxidase,#N/A,1-aminocyclopropane-1-carboxylate (ACC) oxidase; TC106655; Ethylene pathway,PMID:17249425,MtrunA17Chr5g0439011,Medtr5g085330,Mt0010_10382,Mtr.25557.1.S1_at,Medtr_v1_035421
MtrunA17_Chr4g0033571,MtACR4-1,#N/A,crinkly4; Serine/threonine protein kinase-like,PMID:24483147,MtrunA17Chr4g0033571,Medtr4g067230,Mt0003_10719,#N/A,Medtr_v1_067966
MtrunA17_Chr2g0329401,MtACR4-2,#N/A,CRINKLY4 -2;  Serine/threonine protein kinase-like,PMID:30026291,MtrunA17Chr2g0329401,Medtr2g098910,Mt0016_10327,#N/A,Medtr_v1_013454
MtrunA17_Chr8g0389321,MtACS1,#N/A, 1-aminocyclopropane-1-carboxylate synthase (ethylene synthase),PMID:25804975,MtrunA17Chr8g0389321,Medtr8g101820,Mt0009_10791,#N/A,Medtr_v1_052092
MtrunA17_Chr4g0054371,MtACS2,#N/A, 1-aminocyclopropane-1-carboxylate synthase (ethylene synthase),PMID:25804975,MtrunA17Chr4g0054371,Medtr4g097540,Mt0001_11562,#N/A,Medtr_v1_082301
UNDEF,MtACS3,#N/A, 1-aminocyclopropane-1-carboxylate synthase (ethylene synthase),PMID:25804975,UNDEF,Medtr6g090760,#N/A,#N/A,#N/A
MtrunA17_Chr5g0400831,MtACS3,#N/A,ACC  synthase,PMID:28073951,MtrunA17Chr5g0400831,Medtr5g015020,Mt0005_10489,Mtr.39267.1.S1_at,Medtr_v1_030280
MtrunA17_Chr7g0223901,MtACTIN11,#N/A,,PMID:17028204,MtrunA17Chr7g0223901,Medtr7g026230,Mt0035_00230,AFFX-Msa-actin-3_at,Medtr_v1_042686
MtrunA17_Chr3g0125911,MtADH,#N/A,alcohol dehydrogenase,PMID:32003030,MtrunA17Chr3g0125911,Medtr3g089940,Mt0007_00103,Mtr.37443.1.S1_x_at,Medtr_v1_018842
MtrunA17_Chr8g0335291,MtAHA1,#N/A, (MtHA1) Plasma membrane proton pump ,PMID:26188545,MtrunA17Chr8g0335291,Medtr8g006790,Mt0015_10081,Mtr.43470.1.S1_at,Medtr_v1_074168
MtrunA17_Chr2g0304941,MtAHA10,#N/A,Plasma membrane proton pump ,PMID:26188545,MtrunA17Chr2g0304941,Medtr2g449840,Mt0073_00134,#N/A,Medtr_v1_069399
MtrunA17_Chr4g0065481,MtAHA11,#N/A,Plasma membrane proton pump ,PMID:26188545,MtrunA17Chr4g0065481,Medtr4g116950,Mt0001_00816,#N/A,Medtr_v1_076770
MtrunA17_Chr8g0365021,MtAHA12,#N/A,Plasma membrane proton pump ,PMID:26188545,MtrunA17Chr8g0365021,Medtr8g063880,Mt0038_00304,#N/A,Medtr_v1_071793
MtrunA17_Chr2g0333721,MtAHA13,#N/A,Plasma membrane proton pump ,PMID:26188545,MtrunA17Chr2g0333721,Medtr2g104860,Mt0016_00047,#N/A,Medtr_v1_078622
MtrunA17_Chr4g0059961,MtAHA2,#N/A,Plasma membrane proton pump ,PMID:26188545,MtrunA17Chr4g0059961,Medtr4g107500,Mt0001_11185,Mtr.29496.1.S1_at,#N/A
MtrunA17_Chr3g0138931,MtAHA3,#N/A,Plasma membrane proton pump ,PMID:26188545,MtrunA17Chr3g0138931,Medtr3g108800,Mt0007_00951,Mtr.18921.1.S1_at,Medtr_v1_020163
MtrunA17_Chr4g0072131,MtAHA4,#N/A,Plasma membrane proton pump ,PMID:26188545,MtrunA17Chr4g0072131,Medtr4g127710,Mt0001_00364,Msa.1959.1.S1_at,Medtr_v1_027713
MtrunA17_Chr2g0298031,MtAHA5,#N/A,Plasma membrane proton pump; TC121827 ,PMID:26188545,MtrunA17Chr2g0298031,Medtr2g036650,Mt0055_10177,Mtr.26397.1.S1_s_at,Medtr_v1_010965
MtrunA17_Chr6g0452721,MtAHA6,#N/A,Plasma membrane proton pump ,PMID:26188545,MtrunA17Chr6g0452721,Medtr6g011310,Mt0025_00264,Mtr.32930.1.S1_at,Medtr_v1_068577
MtrunA17_Chr1g0147981,MtAHA7,#N/A,Plasma membrane proton pump ,PMID:26188545,MtrunA17Chr1g0147981,Medtr1g009720,Mt0002_00134,#N/A,Medtr_v1_071709
MtrunA17_Chr1g0148031,MtAHA8,#N/A,Plasma membrane proton pump ,PMID:26188545,MtrunA17Chr1g0148031,Medtr1g009760,Mt0002_10120,Mtr.28318.1.S1_at,Medtr_v1_073762
MtrunA17_Chr7g0276551,MtAHA9,#N/A,Plasma membrane proton pump ,PMID:26188545,MtrunA17Chr7g0276551,Medtr7g117500,Mt0036_00357,#N/A,Medtr_v1_079140
MtrunA17_Chr2g0321961,MtALMT,#N/A,Aluminum activated malate transporter family protein,PMID:27245091,MtrunA17Chr2g0321961,Medtr2g087285,Mt0019_10333,Mtr.20006.1.S1_at,Medtr_v1_077659
MtrunA17_Chr6g0453681,MtAMPK,#N/A,AMP-activated protein kinase; SNF1-related protein,PMID:22683509,MtrunA17Chr6g0453681,Medtr6g012990,Mt0025_10284,Mtr.21490.1.S1_at,Medtr_v1_038534
MtrunA17_Chr8g0352611,MtAnn1,#N/A,annexine,PMID:9612949,MtrunA17Chr8g0352611,Medtr8g038210,Mt0037_10123,Msa.1029.1.S1_at,Medtr_v1_049326
MtrunA17_Chr8g0352621,MtAnn2,#N/A,annexine,PMID:15497399,MtrunA17Chr8g0352621,Medtr8g038220,Mt0037_10126,Mtr.20364.1.S1_at,Medtr_v1_049327
MtrunA17_Chr1g0154381,MtAOS1,#N/A,allene oxide synthase 1; TC101097,PMID:17249425,MtrunA17Chr1g0154381,Medtr1g021652,Mt0002_10555,Mtr.37633.1.S1_at,Medtr_v1_072345
MtrunA17_Chr3g0141271,MtAOS2,#N/A,allene oxide synthase 2; TC110784 ,PMID:17249425,MtrunA17Chr3g0141271,Medtr3g111530,Mt0040_10102,Msa.526.1.S1_at,Medtr_v1_087176
MtrunA17_Chr5g0409121,MtAOX,#N/A,alternative oxidase,PMID:25192698,MtrunA17Chr5g0409121,Medtr5g026620,Mt0005_11029,Mtr.43157.1.S1_at,Medtr_v1_031259
MtrunA17_Chr8g0391151,MtAP3D1,#N/A,AP-3 complex subunit delta,PMID:22683509,MtrunA17Chr8g0391151,Medtr8g104380,Mt0009_00897,Mtr.16564.1.S1_at,Medtr_v1_052295
MtrunA17_Chr6g0461291,MtApoCu/ZnSOD,#N/A,apoplastic  copper/ zinc superoxide dismutase,PMID:25192698,MtrunA17Chr6g0461291,Medtr6g029200,Mt0033_10027,Mtr.34738.1.S1_at,Medtr_v1_038925
MtrunA17_Chr3g0137551,MtAPT1,#N/A,adenine phosphoribosyl transferase (CK inactivation),PMID:25804975,MtrunA17Chr3g0137551,Medtr3g106780,Mt0007_10911,Mtr.4024.1.S1_at,Medtr_v1_020002
MtrunA17-Chr5g0399031,MtAPT2,#N/A,adenine phosphoribosyl transferase (CK inactivation),PMID:25804975,MtrunA17Chr5g0399031,Medtr5g012210,Mt0005_00365,Mtr.43441.1.S1_at,Medtr_v1_030029
MtrunA17_Chr7g0252881,MtAPY1;1,#N/A,apyrase (nucleoside triphosphatase);  AY180377,PMID:12644663,MtrunA17Chr7g0252881,Medtr7g085120,Mt0011_10464,Mtr.14667.1.S1_at,Medtr_v1_045186
MtrunA17_Chr4g0015031,MtAPY1;2,#N/A,apyrase (nucleoside triphosphatase); AY180378,PMID:12644663,MtrunA17Chr4g0015031,Medtr4g036220,Mt0014_10191,Mtr.40757.1.S1_at,#N/A
MtrunA17_Chr7g0252891,MtAPY1;3,#N/A,apyrase (nucleoside triphosphatase); AY180379,PMID:12644663,MtrunA17Chr7g0252891,Medtr7g085150,Mt0011_10464,Mtr.14668.1.S1_at,Medtr_v1_045188
MtrunA17_Chr7g0252911,MtAPY1;4,#N/A,apyrase (nucleoside triphosphatase); AY180380,PMID:12644663,MtrunA17Chr7g0252911,Medtr7g085180,Mt0011_10462,Msa.2986.1.S1_at,Medtr_v1_057869
MtrunA17_Chr7g0252921,MtAPY1;5,#N/A,apyrase (nucleoside triphosphatase); AY180381,PMID:12644663,MtrunA17Chr7g0252921,Medtr7g085200,Mt0011_10461,Mtr.19547.1.S1_s_at,#N/A
MtrunA17_Chr7g0252861,MtAPY2,#N/A,apyrase (nucleoside triphosphatase); AY180382,PMID:12644663,MtrunA17Chr7g0252861,Medtr7g085090,Mt0011_10467,Mtr.52269.1.S1_at,Medtr_v1_045183
MtrunA17_Chr1g0199681,MtARF1,#N/A,auxin response factor 1,PMID:25759704,MtrunA17Chr1g0199681,Medtr1g094960,Mt0027_10212,Mtr.39233.1.S1_at,Medtr_v1_007214
MtrunA17_Chr3g0115271,MtARF10,#N/A,auxin response factor 10,PMID:25759704,MtrunA17Chr3g0115271,Medtr3g073420,Mt0006_10740,Mtr.33918.1.S1_at,Medtr_v1_017903
MtrunA17_Chr4g0009751,MtARF11,#N/A,auxin response factor 11,PMID:25759704,MtrunA17Chr4g0009751,Medtr4g021580,Mt0014_00718,Mtr.12945.1.S1_at,Medtr_v1_022833
MtrunA17_Chr4g0029671,MtARF12,#N/A,auxin response factor 12,PMID:25759704,MtrunA17Chr4g0029671,Medtr4g060460,Mt0003_00426,Mtr.26216.1.S1_at,Medtr_v1_024273
MtrunA17_Chr4g0070181,MtARF13,#N/A,auxin response factor 13,PMID:25759704,MtrunA17Chr4g0070181,Medtr4g124900,Mt0001_10495,Mtr.1354.1.S1_at,Medtr_v1_027604
MtrunA17_Chr5g0417211,MtARF14,#N/A,auxin response factor 14,PMID:25759704,MtrunA17Chr5g0417211,Medtr5g040740,Mt0012_10327,Mtr.48730.1.S1_at,Medtr_v1_032387
MtrunA17_Chr5g0417281,MtARF15,#N/A,auxin response factor 15,PMID:25759704,MtrunA17Chr5g0417281,Medtr5g040880,Mt0012_00342,Mtr.21419.1.S1_at,Medtr_v1_032397
MtrunA17_Chr5g0424741,MtARF16,#N/A,auxin response factor 16,PMID:25759704,MtrunA17Chr5g0424741,Medtr5g060630,Mt0008_00382,#N/A,Medtr_v1_037534
MtrunA17_Chr1g0199681,MtARF16a,#N/A,auxin response factor 16a,PMID:25527707,MtrunA17Chr1g0199681,Medtr1g094960,Mt0027_10212,Mtr.39233.1.S1_at,Medtr_v1_007214
MtrunA17_Chr5g0424801,MtARF17,#N/A,auxin response factor 17,PMID:25759704,MtrunA17Chr5g0424801,Medtr5g060780,Mt0008_00387,#N/A,Medtr_v1_033494
MtrunA17_Chr5g0424931,MtARF18,#N/A,auxin response factor 18,PMID:25759704,MtrunA17Chr5g0424931,Medtr5g061220,Mt0008_10348,#N/A,Medtr_v1_033525
MtrunA17_Chr5g0425261,MtARF19,#N/A,auxin response factor 19,PMID:25759704,MtrunA17Chr5g0425261,Medtr5g061890,#N/A,#N/A,Medtr_v1_033579
MtrunA17_Chr8g0385791,MtARF2,#N/A,auxin response factor 2,PMID:25060922,MtrunA17Chr8g0385791,Medtr8g100050,Mt0009_00514,Mtr.14186.1.S1_at,Medtr_v1_052029
MtrunA17_Chr2g0276781,MtARF2,#N/A,auxin response factor 2,PMID:25759704,MtrunA17Chr2g0276781,Medtr2g005240,Mt0023_10530,Mtr.19429.1.S1_s_at,Medtr_v1_008938
MtrunA17_Chr5g0433301,MtARF20,#N/A,auxin response factor 20,PMID:25759704,MtrunA17Chr5g0433301,Medtr5g076270,Mt0063_10062,Mtr.13650.1.S1_at,Medtr_v1_034674
MtrunA17_Chr5g0436761,MtARF21,#N/A,auxin response factor 21,PMID:25759704,MtrunA17Chr5g0436761,Medtr5g082140,Mt0010_00246,#N/A,Medtr_v1_035143
MtrunA17_Chr7g0264171,MtARF22,#N/A,auxin response factor 22,PMID:25759704,MtrunA17Chr7g0264171,Medtr7g101280,Mt0031_10186,#N/A,#N/A
MtrunA17_Chr8g0385791,MtARF23,#N/A,auxin response factor 23,PMID:25759704,MtrunA17Chr8g0385791,Medtr8g100050,Mt0009_00514,Mtr.14186.1.S1_at,Medtr_v1_052029
MtrunA17_Chr8g0389081,MtARF24,#N/A,auxin response factor 24,PMID:25759704,MtrunA17Chr8g0389081,Medtr8g101360,Mt0009_10775,Mtr.1093.1.S1_at,Medtr_v1_052059
MtrunA17_Chr4g0072861,MtARF3,#N/A,auxin response factor 3,PMID:25060922,MtrunA17Chr4g0072861,Medtr4g128910,Mt0001_10316,Mtr.16220.1.S1_at,Medtr_v1_027811
MtrunA17_Chr2g0277461,MtARF3,#N/A,auxin response factor 3,PMID:25759704,MtrunA17Chr2g0277461,Medtr2g006270,Mt0023_00426,Mtr.25045.1.S1_at,Medtr_v1_009023
MtrunA17_Chr2g0326281,MtARF4,#N/A,auxin response factor 4,PMID:25060922,MtrunA17Chr2g0326281,Medtr2g093740,Mt0016_00531,#N/A,Medtr_v1_013144
#N/A,MtARF4,#N/A,auxin response factor 4,PMID:25759704,#N/A,Medtr2g006380,#N/A,#N/A,#N/A
MtrunA17_Chr2g0282961,MtARF5,#N/A,auxin response factor 5,PMID:25759704,MtrunA17Chr2g0282961,Medtr2g014770,Mt0023_00064,Mtr.28292.1.S1_at,Medtr_v1_009694
MtrunA17_Chr2g0285461,MtARF6,#N/A,auxin response factor 6,PMID:25759704,MtrunA17Chr2g0285461,Medtr2g018690,Mt0095_00008,Mtr.10574.1.S1_at,Medtr_v1_009898
MtrunA17_Chr2g0326281,MtARF7,#N/A,auxin response factor 7,PMID:25759704,MtrunA17Chr2g0326281,Medtr2g093740,Mt0016_00531,#N/A,Medtr_v1_013144
MtrunA17_Chr2g0326761,MtARF8,#N/A,auxin response factor 8,PMID:25759704,MtrunA17Chr2g0326761,Medtr2g094570,Mt0016_00497,Mtr.10054.1.S1_at,Medtr_v1_013204
MtrunA17_Chr3g0109391,MtARF9,#N/A,auxin response factor 9,PMID:25759704,MtrunA17Chr3g0109391,Medtr3g064050,Mt0006_01154,Mtr.24462.1.S1_at,Medtr_v1_017382
MtrunA17_Chr4g0064931,MtARP,#N/A,Ankyrin repeat-containing protein; orthologue of defense-induced Arabidopsis ARP; TC107689,PMID:20027302,MtrunA17Chr4g0064931,Medtr4g116160,Mt0001_10861,Mtr.18418.1.S1_at,Medtr_v1_027139
MtrunA17_Chr8g0381261,MtARP3,#N/A,actin-related protein 3,PMID:25608180,MtrunA17Chr8g0381261,Medtr8g089630,Mt0009_10239,Mtr.13778.1.S1_at,
MtrunA17_Chr7g0238651,MtAS1,#N/A,assymetric leaves 1,PMID:24585835,MtrunA17Chr7g0238651,Medtr7g061550,Mt0022_00004,Mtr.40836.1.S1_at,Medtr_v1_043792
MtrunA17_Chr8g0353981,MtAS2,#N/A,assymetric leaves 2 ,PMID:24585835,MtrunA17Chr8g0353981,Medtr8g040900,Mt0037_00246,#N/A,Medtr_v1_076936
MtrunA17_Chr4g0035414,MtATB2,MtrunA17_Chr4g0035414,S class bZIP transcription factor,PMID:20647303,MtrunA17Chr4g0035421,Medtr4g070860,Mt0003_00858,Mtr.15226.1.S1_at,Medtr_v1_024787
MtrunA17_Chr2g0278831,MtBAK1,#N/A,BRASSINOSTEROIDS INSENSITIVE 1-associated receptor kinase 1-like,PMID:27245091,MtrunA17Chr2g0278831,Medtr2g008360,Mt0023_10383,Mtr.37421.1.S1_at,Medtr_v1_009202
MtrunA17_Chr7g0247521,MtBBPI10,#N/A,Bowman-Birk peptidase Inhibitor,PMID:29030416,MtrunA17Chr7g0247521,Medtr7g077300,Mt0026_10461,#N/A,Medtr_v1_044558
MtrunA17_Chr7g0247531,MtBBPI11,#N/A,Bowman-Birk peptidase Inhibitor,PMID:29030416,MtrunA17Chr7g0247531,Medtr7g077310,Mt0026_10462,#N/A,Medtr_v1_044559
MtrunA17_Chr7g0247541,MtBBPI12,#N/A,Bowman-Birk peptidase Inhibitor,PMID:29030416,MtrunA17Chr7g0247541,Medtr7g077313,Mt0026_10463,Mtr.39846.1.S1_at,#N/A
MtrunA17_Chr7g0247551,MtBBPI13,#N/A,Bowman-Birk peptidase Inhibitor,PMID:29030416,MtrunA17Chr7g0247551,Medtr7g077323,Mt0026_10465,#N/A,Medtr_v1_065535
MtrunA17_Chr7g0247571,MtBBPI14,#N/A,Bowman-Birk peptidase Inhibitor,PMID:29030416,MtrunA17Chr7g0247571,Medtr7g077340,Mt0026_10467,Msa.2973.1.S1_at,Medtr_v1_044562
MtrunA17_Chr7g0247581,MtBBPI15,#N/A,Bowman-Birk peptidase Inhibitor,PMID:29030416,MtrunA17Chr7g0247581,Medtr7g077350,Mt0026_10468,Mtr.1996.1.S1_at,Medtr_v1_044563
MtrunA17_Chr1g0206111,MtBBPI16,#N/A,Bowman-Birk peptidase Inhibitor,PMID:29030416,MtrunA17Chr1g0206111,Medtr1g105535,Mt0057_10153,#N/A,Medtr_v1_077337
MtrunA17_Chr7g0247461,MtBBPI4,#N/A,Bowman-Birk peptidase Inhibitor,PMID:29030416,MtrunA17Chr7g0247461,Medtr7g077210,Mt0026_10455,Mtr.16275.1.S1_at,Medtr_v1_044550
MtrunA17_Chr7g0247471,MtBBPI5,#N/A,Bowman-Birk peptidase Inhibitor,PMID:29030416,MtrunA17Chr7g0247471,Medtr7g077215,Mt0026_10456,Mtr.16274.1.S1_at,#N/A
MtrunA17_Chr7g0247481,MtBBPI6,#N/A,Bowman-Birk peptidase Inhibitor,PMID:29030416,MtrunA17Chr7g0247481,Medtr7g077220,Mt0026_10457,Mtr.48901.1.S1_at,Medtr_v1_044551
MtrunA17_Chr7g0247491,MtBBPI7,#N/A,Bowman-Birk peptidase Inhibitor,PMID:29030416,MtrunA17Chr7g0247491,Medtr7g077230,Mt0026_10458,Mtr.16273.1.S1_at,Medtr_v1_044552
MtrunA17_Chr7g0247501,MtBBPI8,#N/A,Bowman-Birk peptidase Inhibitor,PMID:29030416,MtrunA17Chr7g0247501,Medtr7g077235,Mt0026_10459,Mtr.16272.1.S1_at,Medtr_v1_044553
MtrunA17_Chr7g0247511,MtBBPI9,#N/A,Bowman-Birk peptidase Inhibitor,PMID:29030416,MtrunA17Chr7g0247511,Medtr7g077260,Mt0026_10460,#N/A,Medtr_v1_044555
UNDEF,MtBCP1,#N/A,arbuscular mycorrhizal root marker gene,PMID:26984507,UNDEF,Medtr1090420,#N/A,#N/A,#N/A
MtrunA17_Chr7g0253701,MtBCP1,#N/A,blue copper protein 1,PMID:25527707,MtrunA17Chr7g0253701,Medtr7g086190,Mt0011_00438,#N/A,#N/A
MtrunA17_Chr7g0253681,MtBCP1-like,#N/A,blue copper protein 1-like,PMID:25527707,MtrunA17Chr7g0253681,Medtr7g086160,Mt0011_00439,Mtr.15627.1.S1_at,#N/A
MtrunA17_Chr8g0378621,MtBG1,#N/A,"beta-1,3-Glucanase 1",PMID:30416059,MtrunA17Chr8g0378621,Medtr8g085720,Mt0009_10051,Mtr.13283.1.S1_at,Medtr_v1_051211
MtrunA17_Chr4g0034901,MtBG10,#N/A,"beta-1,3-Glucanase 10",PMID:30416059,MtrunA17Chr4g0034901,Medtr4g069940,Mt0003_10825,Mtr.14405.1.S1_s_at,Medtr_v1_024706
MtrunA17_Chr5g0439251,MtBG11,#N/A,"beta-1,3-Glucanase 11",PMID:30416059,MtrunA17Chr5g0439251,Medtr5g085580,Mt0010_10389,Mtr.12266.1.S1_at,Medtr_v1_035441
MtrunA17_Chr3g0144531,MtBG12,#N/A,"beta-1,3-Glucanase 12",PMID:30416059,MtrunA17Chr3g0144531,Medtr3g116510,Mt0068_10162,Mtr.38142.1.S1_at,Medtr_v1_020520
MtrunA17_Chr1g0146831,MtBG13,#N/A,"beta-1,3-Glucanase 13",PMID:30416059,MtrunA17Chr1g0146831,Medtr1g007810,Mt0002_00044,Mtr.46122.1.S1_at,Medtr_v1_003978
MtrunA17_Chr7g0223961,MtBG14,#N/A,"beta-1,3-Glucanase 14",PMID:30416059,MtrunA17Chr7g0223961,Medtr7g026340,Mt0035_10273,Mtr.43378.1.S1_at,Medtr_v1_058453
MtrunA17_Chr2g0294601,MtBG15,#N/A,"beta-1,3-Glucanase 15",PMID:30416059,MtrunA17Chr2g0294601,Medtr2g034480,Mt0018_00424,Msa.1736.1.S1_at,Medtr_v1_010790
MtrunA17_Chr2g0294591,MtBG16,#N/A,"beta-1,3-Glucanase 16",PMID:30416059,MtrunA17Chr2g0294591,Medtr2g034470,Mt0018_10405,#N/A,Medtr_v1_010789
MtrunA17_Chr2g0290821,MtBG17,#N/A,"beta-1,3-Glucanase 17",PMID:30416059,MtrunA17Chr2g0290821,Medtr2g027560,Mt0018_10122,Mtr.39361.1.S1_at,Medtr_v1_010375
MtrunA17_Chr4g0076581,MtBG18,#N/A,"beta-1,3-Glucanase 18",PMID:30416059,MtrunA17Chr4g0076581,Medtr4g134280,Mt0001_00036,Mtr.32653.1.S1_at,Medtr_v1_002450
MtrunA17_Chr4g0038981,MtBG19,#N/A,"beta-1,3-Glucanase 19",PMID:30416059,MtrunA17Chr4g0038981,Medtr4g076470,Mt0003_01118,Mtr.49786.1.S1_x_at,#N/A
MtrunA17_Chr3g0121271,MtBG2,#N/A,"beta-1,3-Glucanase 2",PMID:30416059,MtrunA17Chr3g0121271,Medtr3g083580,Mt0006_10327,Mtr.20928.1.S1_at,Medtr_v1_018352
MtrunA17_Chr4g0038961,MtBG20,#N/A,"beta-1,3-Glucanase 20",PMID:30416059,MtrunA17Chr4g0038961,Medtr4g076430,Mt0003_01115,Mtr.19888.1.S1_at,Medtr_v1_025114
MtrunA17_Chr4g0038971,MtBG21,#N/A,"beta-1,3-Glucanase 21",PMID:30416059,MtrunA17Chr4g0038971,Medtr4g076440,Mt0003_01116,Mtr.44506.1.S1_x_at,Medtr_v1_025113
MtrunA17_Chr4g0039011,MtBG22,#N/A,"beta-1,3-Glucanase 22",PMID:30416059,MtrunA17Chr4g0039011,Medtr4g076490,Mt0003_01118,Mtr.49783.1.S1_at,Medtr_v1_025109
MtrunA17_Chr4g0039021,MtBG23,#N/A,"beta-1,3-Glucanase 23",PMID:30416059,MtrunA17Chr4g0039021,Medtr4g076500,Mt0003_11124,Mtr.19896.1.S1_at,Medtr_v1_025108
MtrunA17_Chr4g0039071,MtBG24,#N/A,"beta-1,3-Glucanase 24",PMID:30416059,MtrunA17Chr4g0039071,Medtr4g076570,Mt0003_01123,Mtr.19911.1.S1_at,Medtr_v1_025122
MtrunA17_Chr2g0294581,MtBG25,#N/A,"beta-1,3-Glucanase 25",PMID:30416059,MtrunA17Chr2g0294581,Medtr2g034440,Mt0018_10405,Mtr.18649.1.S1_s_at,Medtr_v1_010787
MtrunA17_Chr7g0253091,MtBG26,#N/A,"beta-1,3-Glucanase 26",PMID:30416059,MtrunA17Chr7g0253091,Medtr7g085390,Mt0011_10446,#N/A,Medtr_v1_045210
MtrunA17_Chr3g0138741,MtBG27,#N/A,"beta-1,3-Glucanase 27",PMID:30416059,MtrunA17Chr3g0138741,Medtr3g108600,Mt0007_10998,Mtr.18873.1.S1_at,Medtr_v1_020143
MtrunA17_Chr4g0069801,MtBG28,#N/A,"beta-1,3-Glucanase 28",PMID:30416059,MtrunA17Chr4g0069801,Medtr4g124440,Mt0001_10524,#N/A,Medtr_v1_027563
MtrunA17_Chr4g0043511,MtBG29,#N/A,"beta-1,3-Glucanase 29",PMID:30416059,MtrunA17Chr4g0043511,Medtr4g083500,Mt0003_01430,Mtr.33024.1.S1_at,Medtr_v1_025595
MtrunA17_Chr4g0075031,MtBG3,#N/A,"beta-1,3-Glucanase 3",PMID:30416059,MtrunA17Chr4g0075031,Medtr4g132280,Mt0001_10155,Mtr.27368.1.S1_at,Medtr_v1_056379
MtrunA17_Chr3g0129341,MtBG30,#N/A,"beta-1,3-Glucanase 30",PMID:30416059,MtrunA17Chr3g0129341,Medtr3g095050,Mt0007_10343,Mtr.17694.1.S1_at,Medtr_v1_019178
MtrunA17_Chr8g0383311,MtBG31,#N/A,"beta-1,3-Glucanase 31",PMID:30416059,MtrunA17Chr8g0383311,Medtr8g092070,Mt0009_00361,#N/A,#N/A
MtrunA17_Chr6g0461601,MtBG32,#N/A,"beta-1,3-Glucanase 32",PMID:30416059,MtrunA17Chr6g0461601,Medtr6g032820,Mt0033_00015,Mtr.44983.1.S1_at,Medtr_v1_038982
MtrunA17_Chr7g0250301,MtBG33,#N/A,"beta-1,3-Glucanase 33",PMID:30416059,MtrunA17Chr7g0250301,Medtr7g081350,Mt0011_10645,Mtr.46128.1.S1_at,Medtr_v1_044895
