,"Supplementary Dataset 1. List of functionally-validated SNF genes in legumes. Roy et al. (2019). Plant Cell 10.1105/tpc.19.00279. Table shows genes validated by mutational analyses (RNAi, antisense, Tnt1, LORE1, EMS mutagenesis, Y-ray mutagenesis, CRISPR-Cas9, etc). Involvement in different stages of nodulation and nitrogen fixation are indicated by Nod +/-; Inf +/- and fix +/- identifiers for which the key is provided in a separate tab labelled 'Key'. All sequences are provided in a separate tab labelled 'Sequences'. Genes with overexpression phenotypes or expression data alone were not included. Phenotypes associated with lines where multiple genes have been knocked down or edited are entered only once. Each reference indicates the first study describing a mutant in which the gene was identified and the genes are annotated with the two letter code to the corresponding species. The full table with orthology information and gene identifiers can be found at https://nobleapps.noble.org/LegumeGenetics",,,,,,,,,,,,,,,
MtSPK1,Inf+,Nod+/-,n/a,"Andrio et al., 2013",Enzyme (Kinase; Cytoplasmic),SYMBIOTIC PROTEIN KINASE 1 (SPK1),,RNAi,Medtr4g129010,Mtr.16214.1.S1_at,Lj4g3v2046100,Glyma.13G093600,Phvul.003G149200,n/a,,"Andrio, E., Marino, D., Marmeys, A., de Segonzac, M.D., Damiani, I., Genre, A., Huguet, S., Frendo, P., Puppo, A., and Pauly, N. (2013). Hydrogen peroxide-regulated genes in the Medicago truncatula-Sinorhizobium meliloti symbiosis. New Phytol 198, 179-189."
LjSST1,n/a,"Nod++, White++,Nod*",Fix-,"Krusell l., 2005",Transporter (Sulphate),SULPHATE TRANSPORTER 1 (SST1),,T-DNA,Medtr6g086170,Mtr.37708.1.S1_at,Lj2g3v0776870,Glyma.07G088200,Phvul.004G161600,n/a,,"Krusell, L., Krause, K., Ott, T., Desbrosses, G., Krämer, U., Sato, S., Nakamura, Y., Tabata, S., James, E.K., Sandal, N., Stougaard, J., Kawaguchi, M., Miyamoto, A., Suganuma, N., and Udvardi, M.K. (2005). The Sulfate Transporter SST1 Is Crucial for Symbiotic Nitrogen Fixation in Lotus japonicus Root Nodules. The Plant Cell 17, 1625-1636."
MtSUCS1,n/a,Nod+/-,Fix+/-,"Baier et al., 2007",Enzyme (Synthase),SUCROSE SYNTHASE (SUCS1),,Antisense,Medtr4g124660,Mtr.2239.1.S1_at,Lj4g3v2215210,Glyma.17G045800,Phvul.003G127500,n/a,,"Baier, M.C., Barsch, A., Küster, H., and Hohnjec, N. (2007). Antisense Repression of the Medicago truncatula Nodule-Enhanced Sucrose Synthase Leads to a Handicapped Nitrogen Fixation Mirrored by Specific Alterations in the Symbiotic Transcriptome and Metabolome. Plant Physiology 145, 1600-1618."
LjSUNER1,Inf*,"Nod+/-, Nod*",Fix+,"Yoon et al., 2014",Multiprotein complex subunit (DNA Topoisomerase VI),SUNERGOS 1,,EMS,Medtr1g067040,-,Lj5g3v0615710,"Glyma.13G136100, Glyma.10G048300",Phvul.007G162700,n/a,,"Yoon, H.J., Hossain, M.S., Held, M., Hou, H., Kehl, M., Tromas, A., Sato, S., Tabata, S., Andersen, S.U., Stougaard, J., Ross, L., and Szczyglowski, K. (2014). Lotus japonicus SUNERGOS1 encodes a predicted subunit A of a DNA topoisomerase VI that is required for nodule differentiation and accommodation of rhizobial infection. The Plant journal : for cell and molecular biology 78, 811-821."
LjSUS1/LjSUS3,n/a,n/a,Fix+/-,"Horst et al., 2007",Enzyme (Synthase),SUCROSE SYNTHASE (SUS1/SUS3),,EMS TILLING,"Medtr2g044070, Medtr4g124660","Mtr.43059.1.S1_at, Mtr.22018.1.S1_s_at","Lj6g3v1162830, Lj4g3v2215210","Glyma.09G073600, Glyma.15G182600, Glyma.13G114000","Phvul.009G223800, Phvul.003G127500",n/a,,"Horst, I., Welham, T., Kelly, S., Kaneko, T., Sato, S., Tabata, S., Parniske, M., and Wang, T.L. (2007). TILLING mutants of Lotus japonicus reveal that nitrogen assimilation and fixation can occur in the absence of nodule-enhanced sucrose synthase. Plant Physiology 144, 806-820."
LjHAR1,n/a,Nod++,Fix+,"Krusell et al., 2002",Enzyme (Receptor Kinase; LRR-RLK),SUPERNUMERIC NODULE NUMBER (SUNN),"LjHAR1, GmNARK (G. max nodule autoregulation receptor kinase), GmNOD1-3, GmNOD2-4, GmNOD3-7, Pssym29, nts1 (nitrate-tolerant symbiosis 1)",EMS,Medtr4g070970,Mtr.31573.1.S1_s_at,Lj3g3v3375780,"Glyma.12G040000, Glyma.11G114100",Phvul.011G042000,Myc+/-,,"Krusell, L., Madsen, L.H., Sato, S., Aubert, G., Genua, A., Szczyglowski, K., Duc, G., Kaneko, T., Tabata, S., and de Bruijn, F. (2002). Shoot control of root development and nodulation is mediated by a receptor-like kinase. Nature 420, 422."
MtSymCRK,n/a,"Nod+, White++","Fix-, Fix*","Berrabah et al., 2014",Enzyme (Receptor Kinase; Cysteine-rich),symbiotic CYSTEINE RICH KINASE (SymCRK),,Tnt1,Medtr3g079850,"Mtr.39654.1.S1_at, Mtr.44507.1.S1_at",Lj6g3v1055620,Glyma.02G311200,Phvul.006G006800,n/a,,"Berrabah, F., Bourcy, M., Eschstruth, A., Cayrel, A., Guefrachi, I., Mergaert, P., Wen, J., Jean, V., Mysore, K.S., Gourion, B., and Ratet, P. (2014). A nonRD receptor-like kinase prevents nodule early senescence and defense-like reactions during symbiosis. New Phytol 203, 1305-1314."
MtSymREM1,"Inf++, Inf*","Nod+/-, Nod*","Fix-, Fix*","Lefebvre et al., 2010",Membrane protein (Remorin),SYMBIOTIC REMORIN1 (SymREM1),,"RNAi, Tnt1",Medtr8g097320,Mtr.13003.1.S1_at,Lj4g3v2928720,Glyma.08G012800,Phvul.002G155800,n/a,,"Lefebvre, B., Timmers, T., Mbengue, M., Moreau, S., Herve, C., Toth, K., Bittencourt-Silvestre, J., Klaus, D., Deslandes, L., Godiard, L., Murray, J.D., Udvardi, M.K., Raffaele, S., Mongrand, S., Cullimore, J., Gamas, P., Niebel, A., and Ott, T. (2010). A remorin protein interacts with symbiotic receptors and regulates bacterial infection. Proc Natl Acad Sci U S A 107, 2343-2348."
MtSYP132,n/a,"Nod+, Nod*","Fix-, Fix*","Ivanov et al., 2012",Membrane protein (SNARE),SYNTAXIN OF PLANTS 132 (SYP132),,RNAi,Medtr2g088700,Mtr.31873.1.S1_at,Lj0g3v0042819,"Glyma.12G194800, Glyma.13G307600",Phvul.005G114200,Myc+/-,,"Ivanov, S., Fedorova, E.E., Limpens, E., De Mita, S., Genre, A., Bonfante, P., and Bisseling, T. (2012). Rhizobium-legume symbiosis shares an exocytotic pathway required for arbuscule formation. Proceedings of the National Academy of Sciences of the United States of America 109, 8316-8321."
LjSYP71,n/a,Nod+,"Fix-, Fix*","Hakoyama et al., 2012",Membrane protein (SNARE),SYNTAXIN OF PLANTS 71 (SYP71),,EMS,Medtr1g066460,Mtr.13684.1.S1_at,Lj5g3v0626690,Glyma.10G051400,Phvul.007G221500,n/a,,"Hakoyama, T., Oi, R., Hazuma, K., Suga, E., Adachi, Y., Kobayashi, M., Akai, R., Sato, S., Fukai, E., Tabata, S., Shibata, S., Wu, G.-J., Hase, Y., Tanaka, A., Kawaguchi, M., Kouchi, H., Umehara, Y., and Suganuma, N. (2012). The SNARE Protein SYP71 Expressed in Vascular Tissues Is Involved in Symbiotic Nitrogen Fixation in Lotus japonicus Nodules. Plant Physiology 160, 897-905."
MtSYT1/MtSYT2; MtSYT2/MtSYT3,n/a,Nod+,"Fix-, Fix*","Gavrin et al., 2017",Membrane protein,SYNAPTOGAMIN (SYT1/SYT2/SYT3),,RNAi,"Medtr4g073400, Medtr1g025550, Medtr1g094810","Mtr.49377.1.S1_at, Msa.1845.1.S1_at","Lj0g3v0075379, Lj5g3v0239180, Lj5g3v1811570","Glyma.11G107300, Glyma.12G032400, Glyma.14G220000, Glyma.17G259000, Glyma.10G210000","Phvul.011G035100, Phvul.001G005500, Phvul.007G096000",n/a,,"Gavrin, A., Kulikova, O., Bisseling, T., and Fedorova, E.E. (2017). Interface Symbiotic Membrane Formation in Root Nodules of Medicago truncatula: the Role of Synaptotagmins MtSyt1, MtSyt2 and MtSyt3. Front Plant Sci 8, 201."
LjTCO,Inf+/-,"Nod+/-, Nod*","Fix-, Fix*","Suzaki et at., 2013",Enzyme (Carboxypeptidase),TRICOT (TCO),,EMS,Medtr7g107100,Mtr.11449.1.S1_at,Lj1g3v4763600,Glyma.03G205900,Phvul.001G199600,n/a,,"Suzaki, T., Kim, C.S., Takeda, N., Szczyglowski, K., and Kawaguchi, M. (2013). TRICOT encodes an AMP1-related carboxypeptidase that regulates root nodule development and shoot apical meristem maintenance in Lotus japonicus. Development 140, 353-361."
MtTIP1g,n/a,Nod+,"Fix-, Fix*","Gavrin et al., 2014",Chanels (Water),TONOPLAST INTRINSIC PROTEIN 1g (TIP1g),,RNAi,Medtr4g063090,Mtr.47707.1.S1_at,Lj3g3v3155110,Glyma.11G143100,Phvul.011G067200,n/a,,"Gavrin, A., Kaiser, B.N., Geiger, D., Tyerman, S.D., Wen, Z., Bisseling, T., and Fedorova, E.E. (2014). Adjustment of Host Cells for Accommodation of Symbiotic Bacteria: Vacuole Defunctionalization, HOPS Suppression, and TIP1g Retargeting in Medicago. The Plant Cell 26, 3809-3822."
LjTML (MtTML1),Inf++,Nod++,Fix+,"Takahara et al., 2013",F box protein,TOO MUCH LOVE (TML1/TML2),Ljrdh1,"Carbon-ion beams, EMS",Medtr7g029290,Mtr.13058.1.S1_at; Mtr.9802.1.S1_at,Lj0g3v0055889,Glyma.16G057300,Phvul.001G094400,na,,"Takahara, M., Magori, S., Soyano, T., Okamoto, S., Yoshida, C., Yano, K., Sato, S., Tabata, S., Yamaguchi, K., and Shigenobu, S. (2013). TOO MUCH LOVE, a novel kelch repeat-containing F-box protein, functions in the long-distance regulation of the legume–Rhizobium symbiosis. Plant and cell physiology 54, 433-447."
MtTML2,n/a,Nod++,n/a,"Gautrat et al., 2019",F box protein,TOO MUCH LOVE (TML1/TML2),,RNAi,Medtr6g023805,Mtr.28373.1.S1_at,-,Glyma.05G077700,-,n/a,,"Gautrat, P., Mortier, V., Laffont, C., De Keyser, A., Fromentin, J., Frugier, F., and Goormachtig, S. (2019). Unraveling new molecular players involved in the autoregulation of nodulation in Medicago truncatula. Journal of Experimental Botany."
PvTOR,"Inf+/-, Inf*","Nod+/-, Nod*",Fix-,"Nanjareddy et al., 2016",Enzyme (Phosphatidylinositol 3- Kinase),TARGET OF RAPAMYCIN (TOR),,RNAi,Medtr5g005380,Mtr.26418.1.S1_at,Lj1g3v0052210,Glyma.01G241300,Phvul.002G049900,n/a,,"Nanjareddy, K., Blanco, L., Arthikala, M.-K., Alvarado-Affantranger, X., Quinto, C., Sánchez, F., and Lara, M. (2016). A Legume TOR Protein Kinase Regulates Rhizobium Symbiosis and Is Essential for Infection and Nodule Development. Plant physiology 172, 2002-2020."
GmUPS1,n/a,"Nod+, Nod*",Fix+/-,"Collier and Tegeder, 2012",Transporter (Allantoin),UREIDE PERMEASE (UPS1-1),,RNAi,Medtr5g045520,Mtr.8893.1.S1_at,Lj2g3v1252690,Glyma.01G058500,Phvul.003G042800,n/a,,"Collier, R., and Tegeder, M. (2012). Soybean ureide transporters play a critical role in nodule development, function and nitrogen export. The Plant Journal 72, 355-367."
MtVAMP721d/MtVAMP721e,"n/a, Inf*","Nod+/-, Nod*","Fix-, Fix*","Ivanov et al., 2012",Membrane protein (Vesicle trafficking),VESICLE ASSOCIATED MEMBRANE PROTEIN (VAMP721d/AMP721e),,RNAi,"Medtr2g028790, Medtr4g083490",-,"Lj6g3v1692680, Lj6g3v1692680","Glyma.09G019800, Glyma.5G126200, Glyma.07G223000, Glyma.20G022200","Phvul.006G132100, Phvul.002G099400",Myc+/-,,"Ivanov, S., Fedorova, E.E., Limpens, E., De Mita, S., Genre, A., Bonfante, P., and Bisseling, T. (2012). Rhizobium-legume symbiosis shares an exocytotic pathway required for arbuscule formation. Proceedings of the National Academy of Sciences of the United States of America 109, 8316-8321."
MtVPE,n/a,Nod*,Fix++,"Pierre et al., 2014 ",Enzyme (Cysteine-aspartic proteases),VACUOLAR PROCESSING ENZYME (VPE),,RNAi,Medtr1g016780,Msa.1535.1.S1_at,Lj5g3v0369970,Glyma.14G092800,Phvul.001G033500,n/a,,"Pierre, O., Hopkins, J., Combier, M., Baldacci, F., Engler, G., Brouquisse, R., Herouart, D., and Boncompagni, E. (2014). Involvement of papain and legumain proteinase in the senescence process of Medicago truncatula nodules. New Phytol 202, 849-863."
MtVPY,Inf*,"Nod+/-, Nod*",Fix-,"Murray et al., 2011",Membrane protein (Ankyrin-repeat domain containing),VAPYRIN (VPY),hermes,FNB,Medtr6g027840,Mtr.39050.1.S1_at,Lj0g3v0049599.1 ,"Glyma16g04220, Glyma19g29190","Phvul.004G051200, Phvul.001G113900",Myc+/-,,"J.D. Murray, R.R.D. Muni, I. Torres-Jerez, Y.H. Tang, S. Allen, M.Andriankaja, G.M. Li, A. Laxmi, X.F. Cheng, J.Q. Wen, (2011) Vapyrin, a gene essential for intracellular progression of arbuscular mycorrhizal symbiosis, is also essential for infection by rhizobia in the nodule symbiosis of Medicago truncatula Plant J., 65 (2011), pp. 244-252"
MtZIP6,n/a,"Nod+/-, White++",Fix+/-,"Abreu et al., 2018",Transporter (Zinc efflux),ZINC IRON PERMEASE 6 (ZIP6),,RNAi,Medtr4g083570,Mtr.41323.1.S1_at,Lj4g3v1428550,Glyma.20G022500,Phvul.002G099700,n/a,,"Abreu, I., Saéz, Á., Castro‐Rodríguez, R., Escudero, V., Rodríguez‐Haas, B., Senovilla, M., Larue, C., Grolimund, D., Tejada‐Jiménez, M., and Imperial, J. (2017). Medicago truncatula Zinc‐Iron Permease 6 provides zinc to rhizobia‐infected nodule cells. Plant, cell & environment 40, 2706-2719."
MtZPT2,n/a,Nod*,Fix-,"Frugier et al., 2000",TF (Zinc-finger motif containing),Krüppel-like Cys-2/His-2 ZINC FINGER PROTEIN (MsZPT2-1),,Antisense,Medtr3g102980,Mtr.37495.1.S1_at,-,Glyma.06G045400,Phvul.009G070800,n/a,,"Frugier, F., Poirier, S., Satiat-Jeunemaître, B., Kondorosi, A., and Crespi, M. (2000). A Krüppel-like zinc finger protein is involved in nitrogen-fixing root nodule organogenesis. Genes & development 14, 475-482."
MtZR1,n/a,Nod*,Fix+/-,"Hopkins et al., 2013",Unknown protein,ZINC RIBBON protein 1 (ZR1),,RNAi,Medtr3g086740,Msa.965.1.S1_at,-,Glyma18g01770,"Phvul.001G254500, Phvul.011G068500",n/a,,"J. Hopkins, O. Pierre, T. Kazmierczak, V. Gruber, F. Frugier, M. Clement, P.Frendo, D. Herouart, E. Boncompagni (2013) MtZR1, a PRAF protein, is involved in the development of roots and symbiotic root nodules in Medicago truncatulaPlant Cell Environ, 37 (2013), pp. 658-669"
MtγECS,n/a,Nod+,Fix+/-,"El Msehli et al., 2011",Enzyme (Synthetase),γ‐GLUTAMYLCYSTEINE SYNTHETASE (γECS),,RNAi,Medtr8g098350,Mtr.26622.1.S1_at,Lj4g3v2951270,Glyma.05G207600,Phvul.002G289200,n/a,,"El Msehli, S., Lambert, A., Baldacci-Cresp, F., Hopkins, J., Boncompagni, E., Smiti, S.A., Herouart, D., and Frendo, P. (2011). Crucial role of (homo)glutathione in nitrogen fixation in Medicago truncatula nodules. New Phytol 192, 496-506."
Gs52,n/a,"Nod+/-, Nod*",Fix*,"Govindarajulu M, 2009",Enzyme (Ecto-apyrase),Glycine sojae 52 (GS52),,RNAi,Medtr7g085200,-,Lj1g3v3948070,Glyma.16G043300,-,n/a,,"Govindarajulu, M., Kim, S.-Y., Libault, M., Berg, R.H., Tanaka, K., Stacey, G., and Taylor, C.G. (2009). GS52 Ecto-Apyrase Plays a Critical Role during Soybean Nodulation. Plant Physiology 149, 994-1004."
MsNADH-GOGAT,n/a,"Nod++, Nod*",Fix+/-,"Cordoba et al., 2003",Enzyme (NADH-GOGAT),GLUTAMINE SYNTHETASE (GS)/NADH‐dependent GLUTAMATE SYNTHASE (NADH‐GOGAT),,Antisense,Medtr1g027020,Mtr.42795.1.S1_at,Lj0g3v0129059,Glyma.06G127400,Phvul.001G076400,n/a,,"Cordoba, E., Shishkova, S., Vance, C.P., and Hernandez, G. (2003). Antisense inhibition of NADH glutamate synthase impairs carbon/nitrogen assimilation in nodules of alfalfa (Medicago sativa L.). Plant J 33, 1037-1049."
